NORMAL
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
DRAGON: ,92.2%,DARK: ,90.2%,DARK: ,88.2%
FAIRY: ,66.7%,DRAGON: ,76.5%,GROUND: ,70.6%
FIRE: ,64.7%,WATER: ,72.5%,WATER: ,67.6%
DARK: ,64.7%,GROUND: ,72.5%,GRASS: ,67.6%
WATER: ,62.7%,PSYCHIC: ,72.5%,PSYCHIC: ,67.6%
POISON: ,62.7%,GHOST: ,72.5%,GHOST: ,67.6%
PSYCHIC: ,62.7%,ICE: ,70.6%,FIRE: ,66.7%
GHOST: ,62.7%,FLYING: ,70.6%,ELECTRIC: ,66.7%
ROCK: ,58.8%,FIRE: ,68.6%,STEEL: ,64.7%
ELECTRIC: ,54.9%,GRASS: ,68.6%,FLYING: ,62.7%
FLYING: ,54.9%,STEEL: ,60.8%,ICE: ,59.8%
ICE: ,49.0%,ROCK: ,56.9%,ROCK: ,57.8%

POISON
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
NORMAL: ,90.2%,ELECTRIC: ,86.3%,NORMAL: ,85.3%
FLYING: ,84.3%,FIRE: ,84.3%,FLYING: ,82.4%
DRAGON: ,82.4%,FIGHTING: ,82.4%,FIRE: ,80.4%
STEEL: ,78.4%,NORMAL: ,80.4%,ELECTRIC: ,79.4%
FIRE: ,76.5%,FLYING: ,80.4%,BUG: ,77.5%
BUG: ,76.5%,GHOST: ,80.4%,DRAGON: ,77.5%
FAIRY: ,76.5%,BUG: ,78.4%,STEEL: ,77.5%
ICE: ,74.5%,FAIRY: ,78.4%,FAIRY: ,77.5%
PSYCHIC: ,74.5%,PSYCHIC: ,76.5%,GHOST: ,76.5%
ELECTRIC: ,72.5%,STEEL: ,76.5%,PSYCHIC: ,75.5%
ROCK: ,72.5%,WATER: ,72.5%,ICE: ,72.5%
GHOST: ,72.5%,GROUND: ,72.5%,FIGHTING: ,72.5%
DARK: ,72.5%,DRAGON: ,72.5%,DARK: ,71.6%
WATER: ,68.6%,ICE: ,70.6%,WATER: ,70.6%
GRASS: ,68.6%,DARK: ,70.6%,ROCK: ,70.6%
FIGHTING: ,62.7%,ROCK: ,68.6%,GRASS: ,66.7%
GROUND: ,60.8%,GRASS: ,64.7%,GROUND: ,66.7%

GROUND
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
WATER: ,80.4%,WATER: ,80.4%,WATER: ,80.4%
GRASS: ,72.5%,ELECTRIC: ,80.4%,NORMAL: ,74.5%
NORMAL: ,70.6%,NORMAL: ,78.4%,ELECTRIC: ,73.5%
PSYCHIC: ,70.6%,DRAGON: ,78.4%,DRAGON: ,73.5%
FIGHTING: ,68.6%,FLYING: ,74.5%,GRASS: ,71.6%
DRAGON: ,68.6%,ROCK: ,74.5%,FIGHTING: ,70.6%
ELECTRIC: ,66.7%,FIGHTING: ,72.5%,PSYCHIC: ,70.6%
ROCK: ,66.7%,POISON: ,72.5%,ROCK: ,70.6%
STEEL: ,66.7%,FIRE: ,70.6%,FLYING: ,67.6%
GHOST: ,64.7%,GRASS: ,70.6%,GHOST: ,67.6%
DARK: ,64.7%,PSYCHIC: ,70.6%,FIRE: ,66.7%
FIRE: ,62.7%,GHOST: ,70.6%,POISON: ,66.7%
POISON: ,60.8%,ICE: ,68.6%,DARK: ,65.7%
FLYING: ,60.8%,BUG: ,68.6%,BUG: ,64.7%
BUG: ,60.8%,FAIRY: ,68.6%,FAIRY: ,64.7%
FAIRY: ,60.8%,DARK: ,66.7%,ICE: ,62.7%
ICE: ,56.9%,STEEL: ,58.8%,STEEL: ,62.7%

FLYING
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
NORMAL: ,88.2%,BUG: ,86.3%,NORMAL: ,82.4%
FIRE: ,84.3%,POISON: ,80.4%,POISON: ,82.4%
POISON: ,84.3%,FIRE: ,78.4%,FIRE: ,81.4%
PSYCHIC: ,84.3%,NORMAL: ,76.5%,DRAGON: ,79.4%
DRAGON: ,82.4%,WATER: ,76.5%,PSYCHIC: ,78.4%
FAIRY: ,82.4%,ELECTRIC: ,76.5%,BUG: ,78.4%
ROCK: ,78.4%,DRAGON: ,76.5%,FAIRY: ,78.4%
ICE: ,76.5%,ICE: ,74.5%,ELECTRIC: ,75.5%
STEEL: ,76.5%,GROUND: ,74.5%,ICE: ,75.5%
ELECTRIC: ,74.5%,FAIRY: ,74.5%,WATER: ,73.5%
GHOST: ,74.5%,GRASS: ,72.5%,GHOST: ,73.5%
DARK: ,74.5%,PSYCHIC: ,72.5%,GRASS: ,69.6%
WATER: ,70.6%,GHOST: ,72.5%,DARK: ,69.6%
BUG: ,70.6%,FIGHTING: ,70.6%,GROUND: ,67.6%
GRASS: ,66.7%,DARK: ,64.7%,STEEL: ,67.6%
GROUND: ,60.8%,STEEL: ,58.8%,ROCK: ,66.7%
FIGHTING: ,54.9%,ROCK: ,54.9%,FIGHTING: ,62.7%

PSYCHIC
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
NORMAL: ,86.3%,GHOST: ,90.2%,NORMAL: ,85.3%
FAIRY: ,86.3%,NORMAL: ,84.3%,GHOST: ,85.3%
FLYING: ,84.3%,DARK: ,82.4%,DARK: ,81.4%
DRAGON: ,84.3%,ELECTRIC: ,80.4%,FAIRY: ,81.4%
GHOST: ,80.4%,POISON: ,76.5%,FLYING: ,78.4%
DARK: ,80.4%,BUG: ,76.5%,DRAGON: ,77.5%
POISON: ,74.5%,FAIRY: ,76.5%,ELECTRIC: ,76.5%
STEEL: ,74.5%,WATER: ,74.5%,POISON: ,75.5%
WATER: ,72.5%,ICE: ,72.5%,WATER: ,73.5%
ELECTRIC: ,72.5%,FIGHTING: ,72.5%,ICE: ,71.6%
ROCK: ,72.5%,FLYING: ,72.5%,BUG: ,71.6%
ICE: ,70.6%,GRASS: ,70.6%,GROUND: ,70.6%
GROUND: ,70.6%,GROUND: ,70.6%,GRASS: ,69.6%
GRASS: ,68.6%,DRAGON: ,70.6%,ROCK: ,69.6%
FIRE: ,66.7%,FIRE: ,66.7%,FIGHTING: ,67.6%
BUG: ,66.7%,ROCK: ,66.7%,FIRE: ,66.7%
FIGHTING: ,62.7%,STEEL: ,58.8%,STEEL: ,66.7%

BUG
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
DARK: ,78.4%,ICE: ,86.3%,GRASS: ,79.4%
FAIRY: ,78.4%,FLYING: ,86.3%,NORMAL: ,78.4%
NORMAL: ,76.5%,GRASS: ,84.3%,FLYING: ,78.4%
POISON: ,76.5%,NORMAL: ,80.4%,ICE: ,77.5%
GRASS: ,74.5%,ELECTRIC: ,78.4%,POISON: ,77.5%
FIGHTING: ,74.5%,FIGHTING: ,78.4%,FIGHTING: ,76.5%
DRAGON: ,74.5%,POISON: ,78.4%,FAIRY: ,76.5%
STEEL: ,72.5%,FIRE: ,76.5%,DRAGON: ,73.5%
FLYING: ,70.6%,PSYCHIC: ,76.5%,DARK: ,73.5%
GHOST: ,70.6%,FAIRY: ,74.5%,PSYCHIC: ,71.6%
ICE: ,68.6%,WATER: ,72.5%,GHOST: ,71.6%
WATER: ,66.7%,GHOST: ,72.5%,FIRE: ,70.6%
PSYCHIC: ,66.7%,DRAGON: ,72.5%,WATER: ,69.6%
FIRE: ,64.7%,GROUND: ,68.6%,ELECTRIC: ,68.6%
ROCK: ,62.7%,DARK: ,68.6%,STEEL: ,68.6%
GROUND: ,60.8%,STEEL: ,64.7%,GROUND: ,64.7%
ELECTRIC: ,58.8%,ROCK: ,56.9%,ROCK: ,59.8%

ROCK
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
NORMAL: ,80.4%,ELECTRIC: ,76.5%,NORMAL: ,77.5%
ELECTRIC: ,78.4%,NORMAL: ,74.5%,ELECTRIC: ,77.5%
FLYING: ,78.4%,GROUND: ,74.5%,FIRE: ,73.5%
DRAGON: ,78.4%,ICE: ,72.5%,WATER: ,72.5%
FIRE: ,76.5%,FIRE: ,70.6%,ICE: ,72.5%
STEEL: ,76.5%,WATER: ,70.6%,DARK: ,72.5%
WATER: ,74.5%,DARK: ,70.6%,STEEL: ,71.6%
DARK: ,74.5%,POISON: ,68.6%,POISON: ,70.6%
ICE: ,72.5%,PSYCHIC: ,66.7%,GROUND: ,70.6%
POISON: ,72.5%,STEEL: ,66.7%,PSYCHIC: ,69.6%
PSYCHIC: ,72.5%,GHOST: ,64.7%,DRAGON: ,68.6%
GHOST: ,70.6%,FAIRY: ,64.7%,GHOST: ,67.6%
FAIRY: ,70.6%,DRAGON: ,58.8%,FAIRY: ,67.6%
GROUND: ,66.7%,FIGHTING: ,56.9%,FLYING: ,66.7%
GRASS: ,62.7%,BUG: ,56.9%,BUG: ,59.8%
BUG: ,62.7%,GRASS: ,54.9%,GRASS: ,58.8%
FIGHTING: ,58.8%,FLYING: ,54.9%,FIGHTING: ,57.8%

GHOST
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
DARK: ,98.0%,PSYCHIC: ,90.2%,PSYCHIC: ,85.3%
NORMAL: ,86.3%,NORMAL: ,82.4%,NORMAL: ,84.3%
DRAGON: ,82.4%,POISON: ,80.4%,DARK: ,83.3%
PSYCHIC: ,80.4%,ELECTRIC: ,76.5%,POISON: ,76.5%
WATER: ,74.5%,FAIRY: ,76.5%,ELECTRIC: ,75.5%
ELECTRIC: ,74.5%,FIGHTING: ,72.5%,FAIRY: ,75.5%
FLYING: ,74.5%,FLYING: ,72.5%,DRAGON: ,74.5%
FAIRY: ,74.5%,BUG: ,72.5%,FLYING: ,73.5%
POISON: ,72.5%,WATER: ,70.6%,WATER: ,72.5%
STEEL: ,72.5%,ICE: ,70.6%,BUG: ,71.6%
BUG: ,70.6%,GROUND: ,70.6%,ICE: ,69.6%
ROCK: ,70.6%,DARK: ,68.6%,STEEL: ,68.6%
FIRE: ,68.6%,FIRE: ,66.7%,FIRE: ,67.6%
ICE: ,68.6%,DRAGON: ,66.7%,FIGHTING: ,67.6%
GRASS: ,66.7%,ROCK: ,64.7%,GROUND: ,67.6%
GROUND: ,64.7%,STEEL: ,64.7%,ROCK: ,67.6%
FIGHTING: ,62.7%,GRASS: ,58.8%,GRASS: ,62.7%

DRAGON
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
NORMAL: ,92.2%,ELECTRIC: ,80.4%,NORMAL: ,85.3%
FAIRY: ,90.2%,NORMAL: ,78.4%,DARK: ,80.4%
DARK: ,86.3%,WATER: ,78.4%,FAIRY: ,80.4%
ICE: ,84.3%,GRASS: ,78.4%,ELECTRIC: ,79.4%
PSYCHIC: ,84.3%,GROUND: ,78.4%,FLYING: ,79.4%
POISON: ,82.4%,FIGHTING: ,76.5%,WATER: ,78.4%
FLYING: ,82.4%,FLYING: ,76.5%,POISON: ,77.5%
GHOST: ,82.4%,DARK: ,74.5%,PSYCHIC: ,77.5%
STEEL: ,82.4%,POISON: ,72.5%,GRASS: ,76.5%
WATER: ,78.4%,BUG: ,72.5%,ICE: ,76.5%
ELECTRIC: ,78.4%,FIRE: ,70.6%,GHOST: ,74.5%
ROCK: ,78.4%,PSYCHIC: ,70.6%,GROUND: ,73.5%
GRASS: ,74.5%,FAIRY: ,70.6%,BUG: ,73.5%
BUG: ,74.5%,ICE: ,68.6%,FIRE: ,71.6%
FIRE: ,72.5%,GHOST: ,66.7%,FIGHTING: ,71.6%
GROUND: ,68.6%,ROCK: ,58.8%,ROCK: ,68.6%
FIGHTING: ,66.7%,STEEL: ,54.9%,STEEL: ,68.6%

DARK
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
GHOST: ,98.0%,NORMAL: ,90.2%,NORMAL: ,88.2%
NORMAL: ,86.3%,FIGHTING: ,82.4%,GHOST: ,83.3%
DRAGON: ,86.3%,PSYCHIC: ,82.4%,PSYCHIC: ,81.4%
PSYCHIC: ,80.4%,ELECTRIC: ,76.5%,DRAGON: ,80.4%
BUG: ,78.4%,ICE: ,76.5%,ELECTRIC: ,75.5%
WATER: ,74.5%,DRAGON: ,74.5%,FIGHTING: ,73.5%
ELECTRIC: ,74.5%,FAIRY: ,72.5%,BUG: ,73.5%
FLYING: ,74.5%,WATER: ,70.6%,FAIRY: ,73.5%
ROCK: ,74.5%,POISON: ,70.6%,WATER: ,72.5%
FAIRY: ,74.5%,ROCK: ,70.6%,ICE: ,72.5%
POISON: ,72.5%,BUG: ,68.6%,ROCK: ,72.5%
STEEL: ,72.5%,GHOST: ,68.6%,POISON: ,71.6%
FIRE: ,68.6%,GRASS: ,66.7%,FLYING: ,69.6%
ICE: ,68.6%,GROUND: ,66.7%,STEEL: ,67.6%
GRASS: ,66.7%,FLYING: ,64.7%,GRASS: ,66.7%
FIGHTING: ,64.7%,FIRE: ,62.7%,FIRE: ,65.7%
GROUND: ,64.7%,STEEL: ,62.7%,GROUND: ,65.7%

STEEL
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
NORMAL: ,82.4%,ELECTRIC: ,76.5%,POISON: ,77.5%
DRAGON: ,82.4%,POISON: ,76.5%,NORMAL: ,76.5%
WATER: ,80.4%,FIRE: ,74.5%,FIRE: ,76.5%
FIRE: ,78.4%,ICE: ,72.5%,ELECTRIC: ,74.5%
POISON: ,78.4%,NORMAL: ,70.6%,ICE: ,73.5%
GRASS: ,76.5%,ROCK: ,66.7%,WATER: ,71.6%
FLYING: ,76.5%,BUG: ,64.7%,ROCK: ,71.6%
ROCK: ,76.5%,GHOST: ,64.7%,FAIRY: ,69.6%
FAIRY: ,76.5%,WATER: ,62.7%,BUG: ,68.6%
ICE: ,74.5%,DARK: ,62.7%,GHOST: ,68.6%
PSYCHIC: ,74.5%,FAIRY: ,62.7%,DRAGON: ,68.6%
ELECTRIC: ,72.5%,FIGHTING: ,60.8%,FLYING: ,67.6%
BUG: ,72.5%,GROUND: ,58.8%,DARK: ,67.6%
GHOST: ,72.5%,FLYING: ,58.8%,GRASS: ,66.7%
DARK: ,72.5%,PSYCHIC: ,58.8%,PSYCHIC: ,66.7%
FIGHTING: ,68.6%,GRASS: ,56.9%,FIGHTING: ,64.7%
GROUND: ,66.7%,DRAGON: ,54.9%,GROUND: ,62.7%

FAIRY
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
DRAGON: ,90.2%,NORMAL: ,80.4%,NORMAL: ,82.4%
PSYCHIC: ,86.3%,ELECTRIC: ,78.4%,PSYCHIC: ,81.4%
NORMAL: ,84.3%,ICE: ,78.4%,DRAGON: ,80.4%
FLYING: ,82.4%,FIGHTING: ,78.4%,ICE: ,79.4%
ICE: ,80.4%,POISON: ,78.4%,FLYING: ,78.4%
BUG: ,78.4%,PSYCHIC: ,76.5%,POISON: ,77.5%
POISON: ,76.5%,GHOST: ,76.5%,BUG: ,76.5%
STEEL: ,76.5%,FLYING: ,74.5%,GHOST: ,75.5%
GRASS: ,74.5%,BUG: ,74.5%,ELECTRIC: ,74.5%
GHOST: ,74.5%,WATER: ,72.5%,DARK: ,73.5%
DARK: ,74.5%,DARK: ,72.5%,FIGHTING: ,72.5%
WATER: ,70.6%,DRAGON: ,70.6%,WATER: ,71.6%
ELECTRIC: ,70.6%,FIRE: ,68.6%,GRASS: ,71.6%
ROCK: ,70.6%,GRASS: ,68.6%,STEEL: ,69.6%
FIRE: ,68.6%,GROUND: ,68.6%,FIRE: ,68.6%
FIGHTING: ,66.7%,ROCK: ,64.7%,ROCK: ,67.6%
GROUND: ,60.8%,STEEL: ,62.7%,GROUND: ,64.7%
