TYPE,AVERAGE DAMAGE DEALT,TYPE,AVERAGE DAMAGE TAKEN,TYPE,OVERALL SCORE
FIRE/ROCK,1.5906433,GHOST/GHOST,1.1666666,FIGHTING/ROCK,1.167851
FIRE/ICE,1.5804094,NORMAL/ELECTRIC,1.1725147,GROUND/GHOST,1.1670778
FIRE/FAIRY,1.5701754,FAIRY/FAIRY,1.1725147,WATER/STEEL,1.1627492
GROUND/PSYCHIC,1.5672514,WATER/WATER,1.1754386,FIGHTING/GROUND,1.1621233
BUG/ROCK,1.5657895,ELECTRIC/BUG,1.1754386,GHOST/FAIRY,1.1547704
FIRE/WATER,1.5628655,BUG/STEEL,1.1783626,FIGHTING/PSYCHIC,1.153837
WATER/ROCK,1.5614035,WATER/DRAGON,1.1827486,GROUND/ROCK,1.1503422
WATER/GROUND,1.5555556,NORMAL/PSYCHIC,1.1929824,FIRE/GRASS,1.1466566
GROUND/DRAGON,1.5526316,WATER/POISON,1.1929824,BUG/ROCK,1.145952
FIGHTING/DARK,1.5497077,ELECTRIC/GHOST,1.2076024,ELECTRIC/FIGHTING,1.1412915
FIGHTING/FAIRY,1.5467836,GROUND/STEEL,1.2119883,GHOST/STEEL,1.1395521
GRASS/ROCK,1.5438596,WATER/FAIRY,1.2134503,ELECTRIC/FAIRY,1.138754
WATER/FIGHTING,1.5380117,PSYCHIC/STEEL,1.2192982,WATER/BUG,1.1383674
WATER/ICE,1.5321637,POISON/FAIRY,1.2266082,GROUND/DARK,1.1360693
FIGHTING/PSYCHIC,1.5321637,FIRE/FIRE,1.2368422,DRAGON/STEEL,1.133737
FLYING/ROCK,1.5321637,POISON/STEEL,1.2383041,WATER/FLYING,1.1332878
WATER/FLYING,1.5263158,FIRE/WATER,1.245614,WATER/FIGHTING,1.1297653
WATER/FAIRY,1.5263158,GRASS/STEEL,1.248538,WATER/ICE,1.129525
FIGHTING/STEEL,1.5263158,FIRE/DRAGON,1.25,FIGHTING/FAIRY,1.1270629
FIRE/BUG,1.5233918,NORMAL/WATER,1.251462,ELECTRIC/FLYING,1.127058
GRASS/GROUND,1.5219299,WATER/BUG,1.254386,POISON/DARK,1.1258845
ROCK/GHOST,1.5146198,ELECTRIC/FIGHTING,1.254386,WATER/POISON,1.125258
ROCK/STEEL,1.5087719,DARK/FAIRY,1.2558479,FIRE/DRAGON,1.1222222
FIRE/GRASS,1.504386,NORMAL/FLYING,1.2602339,BUG/STEEL,1.120955
PSYCHIC/ROCK,1.5,FLYING/FLYING,1.2660819,ROCK/FAIRY,1.120887
ICE/STEEL,1.4868422,FIRE/GRASS,1.2675439,FIRE/GHOST,1.1205907
FIRE/PSYCHIC,1.4853802,POISON/PSYCHIC,1.2675439,ELECTRIC/BUG,1.1198175
FIRE/GHOST,1.4853802,WATER/GROUND,1.2690059,DARK/FAIRY,1.1188977
ELECTRIC/FIGHTING,1.4853802,DRAGON/DRAGON,1.2690059,FLYING/ROCK,1.1179338
ICE/FLYING,1.4853802,ELECTRIC/STEEL,1.2704679,GROUND/PSYCHIC,1.1176101
ICE/GHOST,1.4853802,NORMAL/STEEL,1.2719299,FIRE/STEEL,1.116111
ICE/BUG,1.4809941,WATER/GHOST,1.2719299,FIRE/DARK,1.1152638
NORMAL/GROUND,1.4795321,FIRE/FAIRY,1.2748538,GROUND/DRAGON,1.1149297
WATER/BUG,1.4795321,PSYCHIC/FAIRY,1.2748538,FIGHTING/DARK,1.1141396
ROCK/DARK,1.4736842,NORMAL/BUG,1.2777778,WATER/ELECTRIC,1.1132913
FIRE/STEEL,1.4722222,GROUND/GROUND,1.2777778,NORMAL/GROUND,1.1106988
FIRE/ELECTRIC,1.4649123,DRAGON/FAIRY,1.2777778,FIRE/ICE,1.1095325
ELECTRIC/ICE,1.4649123,DARK/DARK,1.2777778,FIRE/BUG,1.1074998
FIRE/DARK,1.4619883,WATER/GRASS,1.2792398,WATER/GHOST,1.1036297
ICE/DARK,1.4619883,FIGHTING/FIGHTING,1.2807018,FIRE/PSYCHIC,1.1034496
FLYING/BUG,1.4590644,BUG/BUG,1.2807018,WATER/DRAGON,1.1025687
ICE/FAIRY,1.4576024,FIGHTING/PSYCHIC,1.2894737,ELECTRIC/ICE,1.0978408
FIGHTING/POISON,1.4576024,PSYCHIC/PSYCHIC,1.2894737,ICE/GHOST,1.0959959
GRASS/ICE,1.4459064,NORMAL/FIRE,1.3011696,ROCK/GHOST,1.0935931
FIRE/FLYING,1.4444444,FIRE/DARK,1.3011696,FIRE/ELECTRIC,1.0890776
FIRE/DRAGON,1.4444444,POISON/DRAGON,1.3026316,PSYCHIC/STEEL,1.0869725
ICE/PSYCHIC,1.4444444,POISON/GHOST,1.3055556,WATER/ROCK,1.086879
GHOST/FAIRY,1.4415205,DARK/STEEL,1.3070176,GRASS/ROCK,1.086847
DARK/FAIRY,1.4415205,POISON/FLYING,1.3084795,FLYING/DARK,1.0855262
FIGHTING/BUG,1.4400585,ELECTRIC/POISON,1.3099415,FIRE/ROCK,1.0839293
FLYING/STEEL,1.4400585,FIRE/STEEL,1.3157895,DARK/STEEL,1.0813807
PSYCHIC/BUG,1.4385965,GROUND/FAIRY,1.3157895,GRASS/GROUND,1.0782192
GRASS/FLYING,1.4327486,POISON/GROUND,1.3187134,FIRE/FLYING,1.0751634
FIGHTING/DRAGON,1.4298246,ELECTRIC/DARK,1.3216374,FIGHTING/POISON,1.074605
WATER/GHOST,1.4210526,FIRE/FIGHTING,1.3230994,FLYING/GHOST,1.0720484
FLYING/GHOST,1.4210526,FIRE/GHOST,1.3230994,ELECTRIC/STEEL,1.0719184
FLYING/DARK,1.4210526,ELECTRIC/DRAGON,1.3230994,ELECTRIC/GHOST,1.0704763
GRASS/FIGHTING,1.4166666,FIGHTING/GHOST,1.3289474,ROCK/STEEL,1.0684355
STEEL/FAIRY,1.4166666,FLYING/DARK,1.3333334,NORMAL/GHOST,1.066711
WATER/POISON,1.4122807,POISON/BUG,1.3377193,ICE/ROCK,1.0665226
WATER/STEEL,1.4122807,NORMAL/DRAGON,1.3391813,FLYING/FAIRY,1.0665197
POISON/ROCK,1.4122807,ELECTRIC/GROUND,1.3391813,POISON/FAIRY,1.0640609
FLYING/FAIRY,1.4122807,GRASS/POISON,1.3406433,BUG/GHOST,1.0638809
BUG/GHOST,1.4122807,ELECTRIC/PSYCHIC,1.3421053,PSYCHIC/FAIRY,1.0632545
ROCK/DRAGON,1.4122807,NORMAL/GROUND,1.3479532,ICE/STEEL,1.0618569
ELECTRIC/ROCK,1.4064327,FIRE/GROUND,1.3508772,WATER/DARK,1.0618145
WATER/PSYCHIC,1.4005848,WATER/FLYING,1.3508772,GRASS/STEEL,1.060556
WATER/DARK,1.4005848,NORMAL/FIGHTING,1.3538011,ICE/FLYING,1.0599443
ELECTRIC/FAIRY,1.4005848,GROUND/BUG,1.3538011,WATER/PSYCHIC,1.0558017
GHOST/STEEL,1.3976609,GHOST/DRAGON,1.3538011,GROUND/GROUND,1.0528541
DARK/STEEL,1.3976609,ELECTRIC/GRASS,1.3552631,BUG/FAIRY,1.0521691
BUG/STEEL,1.3932749,GROUND/FLYING,1.3625731,PSYCHIC/BUG,1.049733
BUG/FAIRY,1.3903508,ELECTRIC/ICE,1.3684211,ICE/FAIRY,1.0484273
ELECTRIC/BUG,1.3888888,WATER/ICE,1.375731,GHOST/DARK,1.0483991
FIRE/POISON,1.3859649,BUG/ROCK,1.377193,ICE/PSYCHIC,1.0479364
ICE/POISON,1.378655,WATER/DARK,1.3830409,POISON/STEEL,1.0448599
ELECTRIC/FLYING,1.377193,ICE/ICE,1.3830409,FIGHTING/BUG,1.0420631
WATER/ELECTRIC,1.3640351,GROUND/GHOST,1.3830409,NORMAL/FAIRY,1.0411445
WATER/DRAGON,1.3596492,FLYING/GHOST,1.3830409,NORMAL/FIRE,1.0407023
ELECTRIC/STEEL,1.3567251,FIRE/PSYCHIC,1.3859649,ICE/POISON,1.0404568
GRASS/FAIRY,1.3552631,WATER/FIGHTING,1.3859649,POISON/GHOST,1.0379494
PSYCHIC/STEEL,1.3538011,FLYING/FAIRY,1.3874269,WATER/GRASS,1.034863
PSYCHIC/FAIRY,1.3421053,GRASS/GHOST,1.3976609,FLYING/BUG,1.034617
BUG/DARK,1.3406433,BUG/GHOST,1.3976609,NORMAL/WATER,1.0311116
NORMAL/ROCK,1.3333334,BUG/FAIRY,1.4005848,PSYCHIC/ROCK,1.0307882
ICE/DRAGON,1.3304094,FIRE/ELECTRIC,1.4020468,FIRE/POISON,1.0302606
GRASS/GHOST,1.3274853,WATER/PSYCHIC,1.4064327,POISON/ROCK,1.0284778
GROUND/GROUND,1.3230994,PSYCHIC/DARK,1.4093567,FIGHTING/DRAGON,1.0280991
FLYING/PSYCHIC,1.3216374,FIGHTING/FAIRY,1.4137427,ROCK/DRAGON,1.0248729
GRASS/STEEL,1.3201754,ICE/GHOST,1.4152046,ELECTRIC/DARK,1.0245174
NORMAL/FIRE,1.3128655,FIRE/FLYING,1.4166666,POISON/PSYCHIC,1.0223876
ELECTRIC/GHOST,1.3128655,FIGHTING/FLYING,1.4181286,BUG/DARK,1.0221735
POISON/FAIRY,1.3128655,FLYING/ROCK,1.4210526,ICE/BUG,1.0217471
POISON/GHOST,1.3099415,BUG/DARK,1.4210526,GRASS/GHOST,1.0214832
FLYING/DRAGON,1.3099415,BUG/DRAGON,1.4225147,NORMAL/FIGHTING,1.0213773
POISON/DARK,1.3070176,ICE/POISON,1.4239767,ICE/DARK,1.0213168
PSYCHIC/GHOST,1.3070176,FLYING/PSYCHIC,1.4327486,GRASS/FLYING,1.0206447
NORMAL/ICE,1.3040936,GRASS/GRASS,1.4385965,ELECTRIC/PSYCHIC,1.0172858
NORMAL/FIGHTING,1.3040936,FIRE/BUG,1.4459064,POISON/FLYING,1.0137018
GRASS/PSYCHIC,1.3040936,FIGHTING/POISON,1.4459064,DRAGON/FAIRY,1.0126494
PSYCHIC/DARK,1.3040936,ICE/DRAGON,1.4502923,ICE/DRAGON,1.0099628
DRAGON/STEEL,1.3040936,ICE/GROUND,1.4561404,FLYING/PSYCHIC,1.0097983
GRASS/DARK,1.2953216,FIGHTING/DARK,1.4736842,ELECTRIC/ROCK,1.0093937
ELECTRIC/DARK,1.2923976,GROUND/DARK,1.4736842,POISON/BUG,1.0090044
ELECTRIC/PSYCHIC,1.2894737,GROUND/DRAGON,1.4766082,FIRE/FIRE,1.0080565
WATER/GRASS,1.2880117,NORMAL/DARK,1.4824561,PSYCHIC/DARK,1.0068185
GRASS/BUG,1.2836257,FIRE/POISON,1.4824561,GRASS/POISON,1.0045342
POISON/STEEL,1.2821637,PSYCHIC/DRAGON,1.4824561,GRASS/FIGHTING,1.0036701
BUG/DRAGON,1.2777778,ROCK/GHOST,1.4868422,FAIRY/FAIRY,1.0031883
POISON/BUG,1.2704679,FIGHTING/GROUND,1.4941521,WATER/WATER,1.0021275
ROCK/ROCK,1.2675439,NORMAL/GRASS,1.497076,STEEL/STEEL,1.0018265
NORMAL/WATER,1.2631578,GROUND/PSYCHIC,1.497076,GRASS/ICE,1.0014548
GRASS/POISON,1.2631578,PSYCHIC/BUG,1.5131578,GHOST/DRAGON,0.9994474
POISON/FLYING,1.2631578,ROCK/ROCK,1.5146198,ELECTRIC/POISON,0.99938655
GHOST/DRAGON,1.2602339,ICE/FIGHTING,1.5263158,NORMAL/STEEL,0.9983666
POISON/PSYCHIC,1.2558479,FLYING/DRAGON,1.5292398,ELECTRIC/DRAGON,0.99778366
GRASS/DRAGON,1.245614,ICE/PSYCHIC,1.5350877,ROCK/DARK,0.99476063
DRAGON/FAIRY,1.2426901,ROCK/FAIRY,1.5497077,NORMAL/BUG,0.9936435
ELECTRIC/DRAGON,1.2397661,POISON/ROCK,1.5511696,NORMAL/FLYING,0.992512
ELECTRIC/GRASS,1.2353802,FIGHTING/BUG,1.5526316,NORMAL/ELECTRIC,0.9922234
ELECTRIC/POISON,1.2353802,ICE/FAIRY,1.5643275,GRASS/FAIRY,0.991393
NORMAL/FAIRY,1.2251462,FIRE/ICE,1.5657895,BUG/DRAGON,0.9903791
NORMAL/STEEL,1.2105263,ROCK/DRAGON,1.5687134,ELECTRIC/GRASS,0.9866221
PSYCHIC/DRAGON,1.2105263,ICE/STEEL,1.5701754,FLYING/DRAGON,0.9819306
FIRE/FIRE,1.2076024,FIGHTING/ROCK,1.5701754,POISON/DRAGON,0.98032963
ICE/ICE,1.2076024,GRASS/GROUND,1.5760233,NORMAL/PSYCHIC,0.9790592
DRAGON/DARK,1.2076024,ICE/FLYING,1.5760233,FLYING/FLYING,0.97167355
NORMAL/BUG,1.2046784,PSYCHIC/GHOST,1.5760233,PSYCHIC/GHOST,0.97076297
POISON/DRAGON,1.1929824,NORMAL/ICE,1.5847954,NORMAL/ICE,0.9675449
NORMAL/FLYING,1.1915205,GRASS/ROCK,1.5877193,ICE/ICE,0.9653234
NORMAL/GHOST,1.1754386,ROCK/STEEL,1.5921053,ROCK/ROCK,0.9638878
NORMAL/DARK,1.1637427,GRASS/FAIRY,1.5935673,FIGHTING/FIGHTING,0.9620484
WATER/WATER,1.1535088,DRAGON/DARK,1.5935673,NORMAL/ROCK,0.9594749
FLYING/FLYING,1.1535088,FIGHTING/DRAGON,1.5964912,GHOST/GHOST,0.9505012
FAIRY/FAIRY,1.1535088,WATER/ROCK,1.6330409,PSYCHIC/DRAGON,0.9425413
GHOST/DARK,1.1520468,ELECTRIC/ROCK,1.6330409,NORMAL/POISON,0.9376661
NORMAL/GRASS,1.1491228,FLYING/BUG,1.6388888,GRASS/PSYCHIC,0.9356289
FIGHTING/FIGHTING,1.1432749,GRASS/FLYING,1.6432749,GRASS/DARK,0.93505573
NORMAL/ELECTRIC,1.1315789,GRASS/FIGHTING,1.6929824,ELECTRIC/ELECTRIC,0.92824465
NORMAL/PSYCHIC,1.1198831,NORMAL/ROCK,1.7076024,NORMAL/DARK,0.91914946
STEEL/STEEL,1.0964912,GRASS/DRAGON,1.7163743,DRAGON/DARK,0.91756266
DARK/DARK,1.0453216,ICE/DARK,1.7222222,GRASS/DRAGON,0.91411877
GHOST/GHOST,1.0438596,FIRE/ROCK,1.7324561,DARK/DARK,0.9139651
BUG/BUG,1.0365497,GRASS/DARK,1.7397661,BUG/BUG,0.9086858
NORMAL/DRAGON,1.0350877,GRASS/PSYCHIC,1.7631578,NORMAL/GRASS,0.9085458
NORMAL/POISON,1.0116959,ICE/BUG,1.7777778,GRASS/BUG,0.9042841
PSYCHIC/PSYCHIC,0.98976606,PSYCHIC/ROCK,1.7807018,NORMAL/DRAGON,0.89090633
DRAGON/DRAGON,0.94152045,GRASS/ICE,1.7953216,PSYCHIC/PSYCHIC,0.88263816
ELECTRIC/ELECTRIC,0.9371345,GRASS/BUG,1.9049708,POISON/POISON,0.87371296
GRASS/GRASS,0.93421054,ROCK/DARK,1.9385965,DRAGON/DRAGON,0.86476946
POISON/POISON,0.88596493,GROUND/ROCK,1.9561404,NORMAL/NORMAL,0.8531791
NORMAL/NORMAL,0.7967836,ICE/ROCK,1.9941521,GRASS/GRASS,0.8146663
